matricula_id,curso_id,nota,comentario,data_avaliacao
1906,18,5,Gostei bastante! Indico muito!,2024-10-29 11:53:35
1910,14,3,O curso superou minhas expectativas. Conteúdo de alta qualidade.,2025-08-06 21:13:14
1911,18,4,Gostei bastante! Indico muito!,2025-10-01 17:42:12
1912,7,5,"Curso muito bom, mas poderia ter mais material complementar para estudo.",2025-10-25 19:50:22
1913,11,4,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-08-02 07:59:19
1915,15,4,O conteúdo foi muito bem explicado e os exemplos práticos ajudaram bastante.,2025-02-01 23:22:01
1917,8,5,"Gostei do curso, mas senti falta de mais exercícios práticos.",2025-02-16 10:10:47
1918,18,3,O conteúdo foi muito bem explicado e os exemplos práticos ajudaram bastante.,2025-02-08 09:59:29
1921,16,3,"Gostei do curso, mas senti falta de mais exercícios práticos.",2025-08-15 15:13:58
1922,11,5,O conteúdo foi muito bem explicado e os exemplos práticos ajudaram bastante.,2025-06-22 10:12:24
1928,4,4,"Curso muito bom, mas poderia ter mais material complementar para estudo.",2025-10-05 17:20:05
1932,22,3,"Gostei do curso, mas senti falta de mais exercícios práticos.",2025-10-12 19:28:21
1933,9,4,"Curso muito bom, mas poderia ter mais material complementar para estudo.",2025-10-08 23:29:14
1941,22,3,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-06-06 21:26:52
1943,13,3,"Gostei do curso, mas senti falta de mais exercícios práticos.",2025-10-06 04:29:43
1947,15,5,"Curso muito bom, mas poderia ter mais material complementar para estudo.",2025-01-27 13:08:43
1949,6,5,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-10-07 21:05:10
1950,10,3,Curso excelente! Aprendi muito e recomento a todos que estão começando na área.,2025-10-08 01:38:56
1958,15,5,Gostei bastante! Indico muito!,2025-10-02 16:40:32
1962,18,3,Curso excelente! Aprendi muito e recomento a todos que estão começando na área.,2025-02-04 14:43:27
1968,19,3,Curso excelente! Aprendi muito e recomento a todos que estão começando na área.,2025-08-30 01:09:07
1973,15,4,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-05-11 08:29:44
1975,12,4,Gostei bastante! Indico muito!,2025-09-24 01:35:39
1987,9,4,"Curso muito bom, mas poderia ter mais material complementar para estudo.",2025-09-21 08:16:54
1989,14,3,O curso superou minhas expectativas. Conteúdo de alta qualidade.,2025-10-24 18:23:39
1991,7,3,O curso superou minhas expectativas. Conteúdo de alta qualidade.,2025-10-14 05:28:13
1992,22,3,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-09-14 17:03:16
1997,7,4,O instrutor foi muito claro e objetivo. A didática dele facilitou meu aprendizado.,2025-03-28 20:42:37
