id,modulo_id,titulo,ordem,duracao_minutos,tipo
1,1,Como Funciona A vantagem de realizar seus sonhos com força total,1,31,Vídeo
2,1,Como Funciona O conforto de avançar simplesmente,2,19,Vídeo
3,1,Introdução a A simplicidade de concretizar seus projetos direto da fonte,3,27,Vídeo
4,1,Como Funciona A certeza de concretizar seus projetos naturalmente,4,44,Vídeo
5,1,Como Funciona A certeza de ganhar com força total,5,11,Quiz
6,1,Implementando O poder de avançar antes de tudo,6,41,Vídeo
7,1,Introdução a O direito de inovar simplesmente,7,14,Vídeo
8,1,Introdução a O direito de ganhar sem preocupação,8,26,Vídeo
9,1,Como Funciona A segurança de conseguir de maneira eficaz,9,12,Quiz
10,1,Como Funciona A possibilidade de ganhar com confiança,10,11,Vídeo
11,2,Implementando O poder de mudar com força total,1,19,Vídeo
12,2,Implementando A vantagem de mudar com toda a tranquilidade,2,23,Vídeo
13,2,Introdução a O poder de atingir seus objetivos de maneira eficaz,3,8,Quiz
14,2,Introdução a A liberdade de atingir seus objetivos mais rapidamente,4,44,Vídeo
15,2,Como Funciona O conforto de atingir seus objetivos antes de tudo,5,45,Vídeo
16,2,Como Funciona O prazer de ganhar sem preocupação,6,43,Vídeo
17,2,Como Funciona A certeza de inovar simplesmente,7,15,Vídeo
18,2,Introdução a A vantagem de atingir seus objetivos mais rapidamente,8,17,Vídeo
19,2,Como Funciona O direito de evoluir simplesmente,9,14,Texto
20,2,Implementando O poder de avançar mais rapidamente,10,11,Texto
21,3,Introdução a A simplicidade de evoluir simplesmente,1,6,Quiz
22,3,Como Funciona A simplicidade de inovar em estado puro,2,11,Vídeo
23,3,Introdução a A liberdade de concretizar seus projetos mais rapidamente,3,22,Vídeo
24,3,Introdução a A simplicidade de ganhar com toda a tranquilidade,4,29,Vídeo
25,3,Introdução a O prazer de realizar seus sonhos direto da fonte,5,15,Texto
26,3,Implementando A simplicidade de ganhar simplesmente,6,19,Texto
27,3,Implementando O poder de ganhar naturalmente,7,29,Vídeo
28,3,Introdução a O direito de realizar seus sonhos antes de tudo,8,28,Vídeo
29,3,Introdução a A segurança de atingir seus objetivos em estado puro,9,34,Vídeo
30,3,Implementando O prazer de inovar naturalmente,10,43,Vídeo
31,4,Como Funciona A certeza de mudar simplesmente,1,16,Texto
32,4,Como Funciona A segurança de inovar naturalmente,2,21,Vídeo
33,4,Como Funciona O conforto de ganhar com toda a tranquilidade,3,39,Vídeo
34,4,Introdução a A segurança de realizar seus sonhos com toda a tranquilidade,4,5,Quiz
35,4,Como Funciona A segurança de concretizar seus projetos direto da fonte,5,43,Vídeo
36,4,Implementando O poder de conseguir mais facilmente,6,5,Quiz
